,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,REGION_TYPE,RESPONSE_STATUS,AGE_GROUP,INCOME_GROUP,OCCUPATION_GROUP,EDUCATION_GROUP,GENDER_GROUP,POWER_GROUP,TRAVEL_GROUP,SIZE_GROUP,HAS_ACCESS_TO_ELECTRICITY,POWER_AVAILABILITY_IN_HOURS_PER_DAY,TIME_TO_TRAVEL_TEN_KMS,HOUSES_OWNED,BOUGHT_HOUSE,WILL_BUY_HOUSE,WILL_BUY_HOUSE_NOW,GOOD_TIME_TO_BUY_HOUSE,CARS_OWNED,TYPE_OF_CAR_OWNED,BOUGHT_CAR,WILL_BUY_CAR,WILL_BUY_CAR_OF_TYPE,WILL_BUY_CAR_NOW,GOOD_TIME_TO_BUY_CAR,TWO_WHEELERS_OWNED,TYPE_OF_TWO_WHEELER_OWNED,BOUGHT_TWO_WHEELER,WILL_BUY_TWO_WHEELER,WILL_BUY_TWO_WHEELER_OF_TYPE,WILL_BUY_TWO_WHEELER_NOW,GOOD_TIME_TO_BUY_TWO_WHEELER,HAS_OUTSTANDING_SAVING_IN_FIXED_DEPOSITS,HAS_OUTSTANDING_BORROWING,BORROWED_FOR_CONSUMPTION_EXPENDITURE,BORROWED_FOR_CONSUMER_DURABLES,BORROWED_FOR_VEHICLES,BORROWED_FROM_BANK,BORROWED_FROM_BANK_FOR_VEHICLES
Assam,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,Accepted,Seniors - dominant,150000 - 200000,Organised Farmers,All Matriculates household,Balanced,12-24 hours,15-30 minutes,3 Members,Y,24,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Rajasthan,URBAN,Accepted,Grown-up - dominant,150000 - 200000,Retired/Aged,Graduates majority household,Male Majority,24 hours,15-30 minutes,4 Members,Y,24,36,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,Y,N,N,N,N,N
Madhya Pradesh,RURAL,Accepted,Balanced households with no Seniors,120000 - 150000,Self-employed Entrepreneurs,All Graduates household,Male Dominated,24 hours,30-60 minutes,5 Members,Y,24,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,N,Y,N,N,N,Y,N
Uttar Pradesh,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,URBAN,Accepted,Balanced households with no Seniors,250000 - 300000,Entrepreneurs,Households of all literates,Female Majority,24 hours,30-60 minutes,3 Members,Y,24,32,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,URBAN,Accepted,Grown-up - dominant,300000 - 400000,Wage Labourers,Households of all literates,Male Dominated,12-24 hours,30-60 minutes,5 Members,Y,24,35,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,Y,,N,Y,Y,N,N,N,N
Bihar,RURAL,Accepted,Others households of Grown-ups,120000 - 150000,Self-employed Entrepreneurs,All Graduates household,Female Majority,12-24 hours,15-30 minutes,2 Members,Y,24,28,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,Y,Commuter Bike,Y,,Y,N,N,N,N,N,N
Tamil Nadu,URBAN,Accepted,Others households of Grown-ups,250000 - 300000,Retired/Aged,Matriculates majority household,Balanced,12-24 hours,30-60 minutes,4 Members,Y,21,40,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,Y,,N,Y,N,N,N,Y,N
West Bengal,RURAL,Accepted,Youngsters - dominant,200000 - 250000,Industrial Workers,Graduates minority household,Female Dominated,24 hours,15-30 minutes,6 Members,Y,22,31,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,Y,Y,N,N,N,N
Punjab,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,URBAN,Accepted,Grown-up - dominant,250000 - 300000,Entrepreneurs,Households of all literates,Female Majority,24 hours,15-30 minutes,3 Members,Y,22,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Tamil Nadu,URBAN,Accepted,Grown-up - dominant,200000 - 250000,Small/Marginal Farmers,Matriculates majority household,Male Majority,24 hours,15-30 minutes,3 Members,Y,24,32,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,Y,Y,Scooter,N,,Y,Y,N,N,N,N,N
Rajasthan,RURAL,Accepted,Others households of Grown-ups,200000 - 250000,Retired/Aged,Matriculates majority household,Female Majority,24 hours,<= 15 minutes,4 Members,Y,23,28,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Uttarakhand,URBAN,Accepted,Seniors - dominant,500000 - 600000,Organised Farmers,Graduates majority household,Male Majority,12-24 hours,15-30 minutes,4 Members,Y,23,40,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,URBAN,Accepted,Balanced households with no Seniors,250000 - 300000,Industrial Workers,All Matriculates household,Male Majority,24 hours,15-30 minutes,4 Members,Y,24,43,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Sports Bike,N,N,Not Applicable,N,,N,Y,Y,N,N,N,N
Gujarat,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,URBAN,Accepted,Grown-up - dominant,150000 - 200000,White-collar Professional Employees,Households of all literates,Male Majority,24 hours,15-30 minutes,4 Members,Y,23,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,N,N,N,N,N,N
Gujarat,URBAN,Accepted,Grown-up - dominant,200000 - 250000,Retired/Aged,Matriculates minority household,Male Dominated,12-24 hours,15-30 minutes,2 Members,Y,24,30,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,Y,Commuter Bike,N,,Y,N,N,N,N,N,N
Bihar,URBAN,Accepted,Grown-up - dominant,100000 - 120000,Industrial Workers,Matriculates majority household,Balanced,12-24 hours,15-30 minutes,3 Members,Y,21,40,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,2,Commuter Bike,N,N,Not Applicable,N,,Y,N,N,N,N,N,N
Tamil Nadu,URBAN,Accepted,Grown-up - dominant,300000 - 400000,White-collar Professional Employees,Matriculates majority household,Balanced,12-24 hours,15-30 minutes,4 Members,Y,21,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,Y,Scooter,N,,Y,Y,N,N,N,N,N
Madhya Pradesh,URBAN,Accepted,Others households of Grown-ups,300000 - 400000,Entrepreneurs,Graduates majority household,Male Majority,24 hours,15-30 minutes,5 Members,Y,24,40,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Uttarakhand,URBAN,Accepted,Grown-up - dominant,300000 - 400000,Agricultural Labourers,All Matriculates household,Female Majority,24 hours,15-30 minutes,4 Members,Y,24,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Kerala,URBAN,Accepted,Grown-up - dominant,200000 - 250000,Retired/Aged,Graduates minority household,Male Majority,24 hours,30-60 minutes,3 Members,Y,24,26,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Telangana,RURAL,Accepted,Balanced households with no Seniors,250000 - 300000,Wage Labourers,Graduates minority household,Male Majority,24 hours,15-30 minutes,3 Members,Y,24,17,1,N,N,N,N,1,Hatchback,N,N,Not Applicable,Y,N,1,Scooter,N,N,Not Applicable,Y,,N,Y,Y,N,N,N,N
Uttar Pradesh,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,RURAL,Accepted,Balanced households with no Seniors,300000 - 400000,Small/Marginal Farmers,Households of all literates,Male Majority,24 hours,15-30 minutes,3 Members,Y,24,40,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,Y,N,N,N,Y,N
Gujarat,URBAN,Accepted,Youngsters - dominant,500000 - 600000,Entrepreneurs,Graduates minority household,Balanced,12-24 hours,15-30 minutes,3 Members,Y,23,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,Y,Y,N,N,N,N
Gujarat,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,RURAL,Accepted,Balanced households with no Seniors,300000 - 400000,Self-employed Entrepreneurs,Graduates majority household,Female Dominated,24 hours,30-60 minutes,5 Members,Y,24,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,Y,Y,N,N,N,N
Uttar Pradesh,URBAN,Accepted,Grown-up - dominant,150000 - 200000,White-collar Professional Employees,All Matriculates household,Male Majority,24 hours,15-30 minutes,4 Members,Y,22,33,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,Y,N,N,N,N,N
Haryana,URBAN,Accepted,Grown-up - dominant,200000 - 250000,Small/Marginal Farmers,Households of all literates,Balanced,24 hours,15-30 minutes,4 Members,Y,23,26,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Assam,URBAN,Accepted,Youngsters - dominant,120000 - 150000,Small/Marginal Farmers,Households of all literates,Female Majority,24 hours,15-30 minutes,4 Members,Y,24,28,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Tamil Nadu,URBAN,Accepted,Others households of Grown-ups,100000 - 120000,White-collar Professional Employees,Graduates majority household,Male Dominated,24 hours,15-30 minutes,6 Members,Y,21,24,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,Y,,N,Y,N,N,N,N,N
