,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,URBAN,Accepted,Balanced households with no Seniors,250000 - 300000,Entrepreneurs,Graduates majority household,Female Dominated,24 hours,15-30 minutes,5 Members,Y,24,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,N,N,N,N,N,N
Uttar Pradesh,URBAN,Accepted,Grown-up - dominant,250000 - 300000,White-collar Clerical Employees,All Matriculates household,Female Dominated,12-24 hours,15-30 minutes,3 Members,Y,24,35,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,Y,N,N,Y,N,N
Tamil Nadu,URBAN,Accepted,Grown-up - dominant,300000 - 400000,Entrepreneurs,Graduates minority household,Female Majority,12-24 hours,15-30 minutes,3 Members,Y,24,31,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,Y,,Y,N,N,N,N,N,N
Telangana,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,URBAN,Accepted,Grown-up - dominant,250000 - 300000,Retired/Aged,Graduates dominated household,Female Majority,24 hours,15-30 minutes,5 Members,Y,23,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,Y,Commuter Bike,N,,Y,N,N,N,N,N,N
Odisha,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,URBAN,Accepted,Others households of Grown-ups,500000 - 600000,Self-employed Entrepreneurs,Households of all literates,Female Majority,12-24 hours,30-60 minutes,3 Members,Y,22,26,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,Y,N,N,N,N,N
Bihar,RURAL,Accepted,Grown-up - dominant,250000 - 300000,White-collar Professional Employees,Households of all literates,Male Majority,24 hours,30-60 minutes,2 Members,Y,24,58,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,Y,N,Not Applicable,N,,N,N,N,N,N,N,N
Punjab,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,URBAN,Accepted,Balanced households with no Seniors,150000 - 200000,Retired/Aged,Graduates minority household,Male Majority,24 hours,30-60 minutes,5 Members,Y,21,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,Y,Commuter Bike,N,,Y,N,N,N,N,N,N
Odisha,RURAL,Accepted,Others households of Grown-ups,500000 - 600000,Wage Labourers,Graduates minority household,Male Majority,24 hours,15-30 minutes,3 Members,Y,21,25,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,Y,N,N,N,N,N
Bihar,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,URBAN,Accepted,Others households of Grown-ups,250000 - 300000,Entrepreneurs,Graduates majority household,Male Dominated,24 hours,15-30 minutes,3 Members,Y,24,40,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,Y,N,N,N,N,N
Uttar Pradesh,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,URBAN,Accepted,Others households of Grown-ups,200000 - 250000,Self-employed Entrepreneurs,Households of all literates,Female Dominated,24 hours,15-30 minutes,5 Members,Y,24,40,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,N,N,N,N,N,N
Gujarat,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,URBAN,Accepted,Grown-up - dominant,500000 - 600000,Self-employed Entrepreneurs,Households of all literates,Female Dominated,12-24 hours,15-30 minutes,2 Members,Y,23,38,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,Y,N,Not Applicable,N,,Y,Y,N,N,N,N,N
Odisha,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,RURAL,Accepted,Others households of Grown-ups,100000 - 120000,Entrepreneurs,Households of all literates,Male Dominated,24 hours,15-30 minutes,5 Members,Y,24,28,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,Y,N,Not Applicable,N,,Y,Y,Y,N,N,N,N
West Bengal,URBAN,Accepted,Balanced households with no Seniors,150000 - 200000,Industrial Workers,Graduates majority household,Male Dominated,24 hours,15-30 minutes,5 Members,Y,21,26,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,Y,,Y,N,N,N,N,N,N
Gujarat,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,URBAN,Accepted,Others households of Grown-ups,200000 - 250000,Retired/Aged,Graduates minority household,Female Majority,24 hours,15-30 minutes,3 Members,Y,24,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,Y,Commuter Bike,N,,Y,Y,N,N,Y,N,N
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,URBAN,Accepted,Others households of Grown-ups,150000 - 200000,Self-employed Entrepreneurs,Matriculates majority household,Balanced,12-24 hours,15-30 minutes,4 Members,Y,24,33,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,N,N,N,N,N,N
Maharashtra,URBAN,Accepted,Grown-up - dominant,300000 - 400000,Agricultural Labourers,Matriculates minority household,Male Majority,24 hours,30-60 minutes,4 Members,Y,23,31,1,N,N,N,N,1,Sedan,N,N,Not Applicable,N,N,1,Scooter,N,Y,Commuter Bike,N,,N,N,N,N,N,N,N
Gujarat,RURAL,Accepted,Balanced households with no Seniors,250000 - 300000,Miscellaneous,Matriculates majority household,Female Majority,24 hours,15-30 minutes,5 Members,Y,24,29,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,Y,,Y,N,N,N,N,N,N
Gujarat,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,URBAN,Accepted,Grown-up - dominant,100000 - 120000,Self-employed Entrepreneurs,Households of all literates,Male Majority,24 hours,15-30 minutes,4 Members,Y,23,29,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,Y,Y,Scooter,N,,Y,Y,N,N,N,N,N
Haryana,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,URBAN,Accepted,Grown-up - dominant,120000 - 150000,Organised Farmers,Matriculates dominated household,Balanced,12-24 hours,15-30 minutes,4 Members,Y,23,35,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,Y,N,N,N,N,N
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,RURAL,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,URBAN,Accepted,Grown-up - dominant,60000 - 72000,Self-employed Entrepreneurs,Graduates majority household,Male Dominated,24 hours,30-60 minutes,4 Members,Y,24,43,1,N,N,Y,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,Y,Y,Y,N,N,N,N
Madhya Pradesh,URBAN,Accepted,Grown-up - dominant,200000 - 250000,Wage Labourers,Households of all literates,Balanced,24 hours,15-30 minutes,5 Members,Y,24,40,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,2,Commuter Bike,N,N,Not Applicable,N,,N,Y,N,N,N,N,N
Uttar Pradesh,URBAN,Accepted,Grown-up - dominant,250000 - 300000,White-collar Clerical Employees,Households of some literates,Male Majority,12-24 hours,15-30 minutes,4 Members,Y,22,35,1,N,N,N,Y,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Andhra Pradesh,URBAN,Accepted,Grown-up - dominant,150000 - 200000,Business & Salaried Employees,Households of all literates,Male Majority,24 hours,15-30 minutes,3 Members,Y,24,17,1,N,N,N,Y,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,Y,N,N,N,N,N
Assam,URBAN,Accepted,Grown-up - dominant,150000 - 200000,Entrepreneurs,Households of all literates,Female Dominated,24 hours,<= 15 minutes,2 Members,Y,23,43,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,Y,Sports Bike,N,,Y,N,N,N,N,N,N
Maharashtra,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,URBAN,Accepted,Balanced households with no Seniors,200000 - 250000,Self-employed Entrepreneurs,Graduates minority household,Female Majority,24 hours,15-30 minutes,5 Members,Y,23,18,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,2,Commuter Bike,N,N,Not Applicable,N,,N,Y,Y,N,N,N,N
Rajasthan,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,RURAL,Accepted,Balanced households with no Seniors,300000 - 400000,White-collar Clerical Employees,Households of all literates,Male Majority,24 hours,15-30 minutes,6 Members,Y,24,17,1,N,N,Y,N,0,Not Applicable,N,N,Not Applicable,N,N,0,Not Applicable,N,N,Not Applicable,N,,Y,Y,Y,N,N,N,N
Telangana,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,URBAN,Accepted,Grown-up - dominant,120000 - 150000,White-collar Professional Employees,Graduates minority household,Female Majority,24 hours,15-30 minutes,6 Members,Y,24,31,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Commuter Bike,N,N,Not Applicable,N,,N,Y,Y,N,N,N,N
Madhya Pradesh,URBAN,Accepted,Balanced households with no Seniors,500000 - 600000,Small/Marginal Farmers,Graduates majority household,Female Majority,12-24 hours,15-30 minutes,4 Members,Y,21,28,1,N,N,N,N,0,Not Applicable,N,N,Not Applicable,N,N,1,Scooter,N,N,Not Applicable,N,,N,N,N,N,N,N,N
Uttarakhand,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,URBAN,Non-Response,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,